"","baseMean","log2FoldChange","lfcSE","pvalue","padj","rownames"
"Misin17G209300.1",19.6993368074166,4.90865258208899,2.78738179456158,5.06458947759464e-05,0.00687291582129499,"Misin17G209300.1"
"Misin17G216100.1",629.938375247716,4.17724414020526,0.527049684454173,8.66869004615123e-17,2.22393179160189e-13,"Misin17G216100.1"
"Misin17G219700.1",1604.52365023445,6.84229612901098,1.2041796759239,6.24927594181365e-10,4.10585050445379e-07,"Misin17G219700.1"
"Misin17G223700.1",44.1867423283344,3.1816852536495,0.997663832826668,1.07939803298548e-05,0.00197127352634212,"Misin17G223700.1"
"Misin17G227100.1",81.4728745910693,-5.38552116728023,0.775777692754372,1.42941949411729e-13,2.40656172642403e-10,"Misin17G227100.1"
"Misin17G228100.1",14.0844147981188,-2.98373741568147,2.98004942892444,0.000288878779433194,0.0267871673699885,"Misin17G228100.1"
"Misin17G229000.1",13.5040562683195,-2.40067740248639,2.07603079934281,0.00034450239352391,0.0304762995912983,"Misin17G229000.1"
"Misin17G234500.1",60.6685529631482,3.08394153107024,0.770536242523959,1.83462225361678e-06,0.000462462603741933,"Misin17G234500.1"
"Misin17G243500.1",1307.15610155045,2.42987900362847,0.700315683348094,7.21973339401888e-06,0.00141441140582824,"Misin17G243500.1"
"Misin17G246200.1",566.973105793458,-1.09541392245622,0.546732919262122,0.000162710236419519,0.017427463195033,"Misin17G246200.1"
"Misin17G251700.1",253.950773955513,1.22434728814987,0.787010988239942,0.000318817600754124,0.0288677281355099,"Misin17G251700.1"
"Misin17G256200.1",54.8951500321348,4.72413521501266,3.73404924002712,7.98863926961685e-05,0.00983732570697382,"Misin17G256200.1"
"Misin17G260500.1",362.976695571998,0.720282363182797,0.364674729571534,0.00027831506751682,0.0261223419206772,"Misin17G260500.1"
"MisinT500200.1",16.8649193484394,-2.02520970937958,2.4139134364639,0.000650848972619529,0.048099435390778,"MisinT500200.1"
"MisinT025500.1",361.951480649219,-1.27492556563085,0.336751374981351,2.89121405305224e-06,0.00067723546568778,"MisinT025500.1"
"MisinT226600.1",104.4246768001,2.42023276856313,1.82833545508509,0.00026760710817392,0.0253881175054662,"MisinT226600.1"
"Misin16G048000.1",17.7699361437316,4.18957980212947,3.13669555262363,0.000109819069763026,0.0126420991100065,"Misin16G048000.1"
"Misin16G048700.1",2649.33980828849,-1.11172224100915,0.671492504369421,0.000290000728483596,0.0268031075560422,"Misin16G048700.1"
"Misin16G075500.1",133.071398413224,4.36259618217135,0.993384872435764,2.99846510420978e-07,9.79044287813952e-05,"Misin16G075500.1"
"Misin16G096300.1",90.6050167421522,3.12275295750822,1.31732628209046,4.18825545101832e-05,0.00590686550847152,"Misin16G096300.1"
"Misin16G118700.1",123.894140504997,-3.23017986299078,1.6152830668167,6.95528216856534e-05,0.00877554629581868,"Misin16G118700.1"
"Misin16G121700.1",5090.92912193449,5.06031830331541,1.05600671582782,4.82914486169761e-08,2.09814660825773e-05,"Misin16G121700.1"
"Misin16G137900.1",152.469775204604,1.87290126885015,0.627955101724736,1.86731618657437e-05,0.00311460246290074,"Misin16G137900.1"
"Misin16G140000.1",328.947675051594,-2.37974152200284,2.80430930108532,0.000487349572534479,0.0391730663237668,"Misin16G140000.1"
"Misin16G146300.1",22.7212395135428,6.6852407205038,1.68446417097783,8.40807689901196e-07,0.000234707327945217,"Misin16G146300.1"
"Misin16G153800.1",289.870979682762,1.24112312695392,0.683749609704311,0.000198141487344913,0.0202559252954595,"Misin16G153800.1"
"Misin16G155500.1",182.011755686366,0.888320241323085,0.603176442451942,0.000505424587028984,0.0402211959027866,"Misin16G155500.1"
"Misin16G169600.1",45.9726746931647,4.1780340240459,2.97451364066037,0.000103982949338519,0.0120995278522952,"Misin16G169600.1"
"Misin16G174800.1",17.1007811071203,-3.21432110131584,2.99559142878485,0.000237213611973855,0.0230268168380026,"Misin16G174800.1"
"Misin16G184100.1",14.2414097886736,2.5656150259634,1.5069497931517,0.000141581673388923,0.0156355503744944,"Misin16G184100.1"
"Misin16G204900.1",143.575865042603,1.99961318988151,0.345411539157848,3.38072445357014e-10,2.42848706581455e-07,"Misin16G204900.1"
"Misin16G212300.1",172.429537780829,1.47648572643823,1.07831272608544,0.000396317702077482,0.0340556860846533,"Misin16G212300.1"
"Misin16G213000.1",77.4454552178744,-5.27524099697259,1.01751176616875,6.98800509049827e-09,3.58551213571995e-06,"Misin16G213000.1"
"MisinT091400.1",70.4208480645974,6.58647975289094,1.43471298760347,1.2045385460178e-07,4.44482973744581e-05,"MisinT091400.1"
"MisinT313700.1",313.439187711775,2.1948283318865,0.32242050256518,9.94632826081216e-13,1.27815751879471e-09,"MisinT313700.1"
"MisinT551300.1",657.568030533825,-1.04054092355464,0.197119263761185,1.04565326339916e-08,5.21616384866941e-06,"MisinT551300.1"
"MisinT404400.1",54.8341991058253,2.47484165326587,1.93085131421248,0.000276743758207888,0.0260656817717657,"MisinT404400.1"
"Misin08G022200.1",11.3074581204237,4.96385554193482,2.43883961776379,3.54774611465068e-05,0.00516580599802176,"Misin08G022200.1"
"Misin08G027900.1",653.314679540357,-1.04606910621135,0.710403232284364,0.000424929294401857,0.0359953863772014,"Misin08G027900.1"
"Misin08G030600.1",615.516999043211,-3.27014765699268,0.466318040847045,2.16437471043941e-13,3.2390468756923e-10,"Misin08G030600.1"
"Misin08G074300.1",60.111625169988,2.63223718134361,1.00994455409109,3.43478708591941e-05,0.00505486643115285,"Misin08G074300.1"
"Misin08G074500.1",210.947456568226,1.38233298387265,0.793563099839576,0.000208357528258515,0.0209383929391377,"Misin08G074500.1"
"Misin08G097800.1",382.534230525195,1.21493576129449,0.465754058549713,4.99909711235676e-05,0.00680117062950052,"Misin08G097800.1"
"Misin08G104800.1",17.6322066203627,-2.2037347119257,2.45227560298526,0.000537981627389624,0.0418840464965549,"Misin08G104800.1"
"Misin08G105700.1",144.284393741535,1.6958814543738,1.03635069356937,0.000223060482941137,0.0221314613599517,"Misin08G105700.1"
"Misin08G106400.1",40.1411364033409,1.8299693330763,1.41796198803326,0.00038376668957996,0.0333033321604162,"Misin08G106400.1"
"Misin08G111100.1",16.5243834051735,1.87527444663216,1.64596703262522,0.000479354244025694,0.0390616096779886,"Misin08G111100.1"
"Misin08G126700.1",435.676407858343,-2.12558077202497,0.783429003636348,3.14483067062016e-05,0.00465460858185882,"Misin08G126700.1"
"Misin08G144100.1",1009.99037975503,0.827911063371708,0.611465565552077,0.000670828950118687,0.0491713056974752,"Misin08G144100.1"
"Misin08G159900.1",50.5216797403015,-2.49065020835599,0.833341855070459,1.85483907134525e-05,0.00310339922263122,"Misin08G159900.1"
