"","baseMean","log2FoldChange","lfcSE","pvalue","padj","rownames"
"Misin15G197300.1",294.713440282169,23.6008696686523,3.89800196992585,9.05771871634767e-12,9.02887601239518e-09,"Misin15G197300.1"
"Misin19G007700.1",143.667134793158,24.1280979807451,3.90708718799221,7.58003265598291e-12,8.00733841845254e-09,"Misin19G007700.1"
"Misin19G013500.1",933.225794301697,-0.461120741528585,0.165409011076737,0.000302518370472436,0.0242172023910884,"Misin19G013500.1"
"Misin19G017400.1",32.6204765659764,3.85043197007361,2.17425709462969,9.41032640782498e-05,0.00980621538146172,"Misin19G017400.1"
"Misin19G018600.1",118.966549430869,1.44030329838699,1.14092818863902,0.000458058069523007,0.0329918161705241,"Misin19G018600.1"
"Misin19G023900.1",536.59670597212,-2.32469003421619,0.416930551102785,2.43796317277611e-09,1.31345265933313e-06,"Misin19G023900.1"
"Misin19G036300.1",65.2621458873806,-0.724811394069691,0.447141585507811,0.000385095028329601,0.0289944644047277,"Misin19G036300.1"
"Misin19G036900.1",65.435074022077,-2.84131564880994,1.40012674940689,8.0356035443389e-05,0.00867571424752021,"Misin19G036900.1"
"Misin19G040400.1",8255.88430141259,-0.706842506286822,0.218760041812312,7.94466828995343e-06,0.00136747285661738,"Misin19G040400.1"
"Misin19G043700.1",267.009437277187,6.06922410701785,2.12250611690781,8.29481489575728e-06,0.00141418719148394,"Misin19G043700.1"
"Misin19G049800.1",32.4362219175079,2.12416139936648,0.968821948678162,6.38745397587931e-05,0.00726000175001051,"Misin19G049800.1"
"Misin19G055900.1",191.272784231082,1.83847743929826,1.71470560197014,0.000598667675549616,0.0398680111498586,"Misin19G055900.1"
"Misin19G057300.1",836.533837304109,2.08441279454745,2.00251538436319,0.000574622119981417,0.0386306649084439,"Misin19G057300.1"
"Misin19G063100.1",344.722645140578,2.24544156581706,1.22359721579502,0.000121766046200509,0.0119186523515319,"Misin19G063100.1"
"Misin19G069100.1",15.2049798950147,-5.98020124271844,2.26417960313644,1.13434588208756e-05,0.0018134387061563,"Misin19G069100.1"
"Misin19G083700.1",1716.04259610196,1.4098765569158,1.32902696057292,0.000730239528801391,0.0456441359128264,"Misin19G083700.1"
"Misin19G088400.1",149.986285159363,2.15830645880697,0.73445730487449,1.56846956118637e-05,0.00238031824250466,"Misin19G088400.1"
"Misin19G096200.1",598.733098055864,1.10786800259392,0.936476091472722,0.000638657379091241,0.0417568765758988,"Misin19G096200.1"
"Misin19G100700.1",426.789200347037,5.08369334358452,0.970215067962601,1.86535646998615e-08,8.00658010193876e-06,"Misin19G100700.1"
"Misin19G100900.1",1438.8586570653,2.42428199871236,0.679939878491513,4.47383638887357e-06,0.000870136951085067,"Misin19G100900.1"
"Misin19G109800.1",37.9527359173309,1.71476082978254,1.64428669836402,0.000668554360006114,0.0431357678387178,"Misin19G109800.1"
"Misin19G114000.1",834.983046424784,-0.776720297497957,0.466545631109702,0.000299561330328799,0.0240878607036777,"Misin19G114000.1"
"Misin19G142200.1",17.3376593087905,1.81697153308008,1.75575895184153,0.000652129874559285,0.0423805753822454,"Misin19G142200.1"
"Misin19G145100.1",1305.63793898084,2.05244829613394,1.07011060348749,0.000106693425620512,0.010800787982654,"Misin19G145100.1"
"Misin19G191900.1",698.714683005222,4.32499893166473,0.760682323294096,1.53836298889869e-09,8.63326104447052e-07,"Misin19G191900.1"
"Misin19G198200.1",51.3544580279661,1.8146395656338,1.97785453477303,0.000822221485439539,0.0497162542402415,"Misin19G198200.1"
"Misin19G200100.1",25.6393012494111,2.57633767120244,0.844370112718908,1.33827292170821e-05,0.00208379923864247,"Misin19G200100.1"
"Misin19G206300.1",12890.0607584223,0.637774415023655,0.228053575395535,5.51163405268302e-05,0.00658401961393121,"Misin19G206300.1"
"Misin19G218600.1",109.472651310375,-1.32080186214808,0.48356418396852,1.25704659211731e-05,0.00198602302493607,"Misin19G218600.1"
"Misin19G236400.1",90.1128892768674,-1.47921633070246,1.095985279514,0.000372737782224439,0.0284436940755547,"Misin19G236400.1"
"Misin19G248200.1",88.2850690468032,-3.06113681949869,0.822983819192227,3.37335457844541e-06,0.00068580935061791,"Misin19G248200.1"
"Misin19G277300.1",68.5621802664687,2.26316864788845,2.19996440389304,0.000536888731074915,0.0368939800850268,"Misin19G277300.1"
"MisinT115400.1",58.3923697088379,36.2958486327799,4.24464317948631,2.74215008581206e-18,1.13641027594711e-14,"MisinT115400.1"
"MisinT014600.1",1522.84651638216,7.9220852194252,1.53520837364546,4.1441863660165e-09,2.08661720064616e-06,"MisinT014600.1"
"MisinT014700.1",254.946206134559,5.32147403466288,2.13100100306669,1.97708234264392e-05,0.00287103264716822,"MisinT014700.1"
"MisinT014900.1",378.02049901118,5.93002695113364,1.55819510440742,2.01116290368499e-06,0.000457178909012779,"MisinT014900.1"
"MisinT311400.1",793.120035623319,0.673979486574427,0.343629319135873,0.000243099087443807,0.0207062122000644,"MisinT311400.1"
"MisinT171000.1",43.1040850373616,2.11118074780338,1.09014269114905,0.000102516128190822,0.010513831343422,"MisinT171000.1"
"MisinT171100.1",113.112199608682,3.33084533773402,1.76236516740811,9.28075435142581e-05,0.00970875030452555,"MisinT171100.1"
"Misin03G006300.1",11.8876291704915,-6.52585750361053,1.83036127810469,2.24023866503619e-06,0.000500800240990974,"Misin03G006300.1"
"Misin03G006600.1",43.0661472436163,1.12238644471846,1.00324051396154,0.000738579541225801,0.0460543666476158,"Misin03G006600.1"
"Misin03G010100.1",624.046941653455,2.44637241088352,0.600028011617413,1.20879717128952e-06,0.000297751857957451,"Misin03G010100.1"
"Misin03G012300.1",309.303944164687,4.20865850566307,2.72041641417452,9.92761924118739e-05,0.0102855862811341,"Misin03G012300.1"
"Misin03G013200.1",27.2844538808944,1.26470462289339,1.18915120103069,0.000778197946897276,0.047914759301818,"Misin03G013200.1"
"Misin03G014200.1",5.80634602926701,-3.426733929354,2.73896008718816,0.000207671923672664,0.0183716336418141,"Misin03G014200.1"
"Misin03G016900.1",400.068027894079,-2.29027679922828,0.675623701483218,6.40287451569034e-06,0.00116146419034619,"Misin03G016900.1"
"Misin03G020900.1",17.2010554928481,2.19907068461051,1.79786956530133,0.00039073304799874,0.029196592178824,"Misin03G020900.1"
"Misin03G023000.1",232.800878024336,2.20565007492507,2.40622141900368,0.000640484506787792,0.0417749428610076,"Misin03G023000.1"
"Misin03G029700.1",13.0391395838711,-2.14131633884131,2.66195965780529,0.000697960694221132,0.0442383910601923,"Misin03G029700.1"
"Misin03G030000.1",20.007288463488,5.02973684064386,1.46766855736418,5.75402272155193e-06,0.0010616368976836,"Misin03G030000.1"
"Misin03G032400.1",37.7697354901401,-6.59448469712237,1.53579558857303,4.28982482472817e-07,0.000124255006683995,"Misin03G032400.1"
"Misin03G034300.1",798.015133257028,-0.96840505194283,0.253635749375573,1.17594020385131e-07,4.06303790862332e-05,"Misin03G034300.1"
"Misin03G038400.1",1058.13012010617,-1.00120904133657,0.438407020720058,3.98448324933449e-05,0.00507479988316538,"Misin03G038400.1"
"Misin03G039700.1",21.8310652245104,6.30067543997698,2.30753127882214,8.26467857115419e-06,0.00141352240641566,"Misin03G039700.1"
"Misin03G042000.1",539.56238884002,0.808648931880212,0.335805766592073,4.36640401964102e-05,0.00540781647260137,"Misin03G042000.1"
"Misin03G042300.1",1007.17113102119,-0.592351887370706,0.39041483293055,0.000811266498461939,0.0493058354728585,"Misin03G042300.1"
"Misin03G047700.1",779.409437645944,3.38944483216574,1.74451957185229,8.43416486944035e-05,0.00899783430378413,"Misin03G047700.1"
"Misin03G050400.1",148.543785925892,-1.76786045508076,0.261220112234285,1.74188414424436e-12,2.1328183697992e-09,"Misin03G050400.1"
"Misin03G065100.1",263.98934778555,-0.772183477259172,0.509769569427138,0.000422313166890672,0.0311705608176597,"Misin03G065100.1"
"Misin03G074500.1",21.1573904784686,3.90547503124963,1.1962325917877,9.16337996027631e-06,0.00153793487651055,"Misin03G074500.1"
"Misin03G086800.1",4090.20199844348,4.07741080370128,0.91010569496341,4.28717861665416e-07,0.000124255006683995,"Misin03G086800.1"
"Misin03G103300.1",30.5198369133239,3.91026268196497,3.24129744228476,0.000136520331377163,0.0130014182784592,"Misin03G103300.1"
"Misin03G109400.1",23.3518290105813,3.97711290332815,1.44683238801851,2.18044162362301e-05,0.00313256779927173,"Misin03G109400.1"
"Misin03G113300.1",535.796175032914,1.8032558547572,1.77619464071272,0.000682861886928417,0.0436926177651644,"Misin03G113300.1"
"Misin03G168000.1",44.7488624550777,1.05495649549959,0.731881320434186,0.000352049071633785,0.0272509249055606,"Misin03G168000.1"
"Misin03G195400.1",2757.47733444392,1.36129964365964,0.668558978179658,7.93903986240531e-05,0.0085886701322708,"Misin03G195400.1"
"Misin03G228600.1",17.0007693187775,-1.91773282351144,1.06116942319966,0.000133475130527992,0.0127953250128036,"Misin03G228600.1"
"Misin03G235900.1",11628.5980793541,-0.58287066287286,0.322835128072553,0.000551068596959358,0.0374858846732139,"Misin03G235900.1"
"Misin03G240100.1",109.781223042257,-0.952838156102297,0.688886164083983,0.000437417350076512,0.0319753863437884,"Misin03G240100.1"
"Misin03G288300.1",11.0873156697589,-2.82459990078049,3.00163064019931,0.000355231901948246,0.0274185081912059,"Misin03G288300.1"
"Misin03G300700.1",136.731330561754,-32.4063213670075,3.69294584424178,5.11530336784378e-19,2.75586968942583e-15,"Misin03G300700.1"
"Misin03G315100.1",362.894549534459,2.17032765939608,1.51000019223115,0.000260463191323664,0.0217632080632169,"Misin03G315100.1"
"Misin03G347000.1",159.678703788475,3.83812622878744,0.589967991052331,7.96208689968066e-12,8.24918137923645e-09,"Misin03G347000.1"
"Misin03G352500.1",24.3209647173443,6.37642790667104,2.45282802093545,8.98102035116685e-06,0.00151203897318473,"Misin03G352500.1"
"Misin03G364200.1",15.487174565673,-4.37962796713924,2.96256423571387,9.09496680526213e-05,0.00958887155838546,"Misin03G364200.1"
"MisinT349100.1",333.205324521331,0.818154831220631,0.292871528020696,1.31753024019402e-05,0.00205744758523052,"MisinT349100.1"
"MisinT349300.1",20.9673142780784,1.26849102900204,1.07178993237316,0.000587531199067022,0.0393697056588754,"MisinT349300.1"
"MisinT086100.1",160.190427788338,2.41202266943822,0.574482030943651,8.35205367380272e-07,0.000218430529939865,"MisinT086100.1"
"Misin18G004100.1",429.12399699293,-1.70247959400531,0.727539849287252,4.52606518458302e-05,0.00557249068858203,"Misin18G004100.1"
"Misin18G005600.1",128.627041365577,1.41168052166376,0.742215336202036,0.000109764656125686,0.0110327814342749,"Misin18G005600.1"
"Misin18G005700.1",104.294376960274,3.77593884452791,0.981745006516921,2.67996950542017e-06,0.000575961931010917,"Misin18G005700.1"
"Misin18G008700.1",160.56800000614,0.665318564284059,0.46631430286581,0.00069303710826998,0.043978061493575,"Misin18G008700.1"
"Misin18G012500.1",119.089405634298,2.10694763596487,1.66797887296219,0.000371910605628759,0.0284301735505135,"Misin18G012500.1"
"Misin18G015700.1",2292.00616186509,3.6793594654646,1.13166476306074,9.44938645449953e-06,0.00156641752380358,"Misin18G015700.1"
"Misin18G018200.1",126.855001769182,0.760064531183446,0.609289589423382,0.000782076001908583,0.0480712258259233,"Misin18G018200.1"
"Misin18G021800.1",121.948476944015,3.43902951773594,1.00204895331707,6.5946639516956e-06,0.00118429173465867,"Misin18G021800.1"
"Misin18G035100.1",142.278850671479,2.29600040242209,1.6001839716771,0.000254109269724162,0.0214678492547113,"Misin18G035100.1"
"Misin18G044400.1",915.36745615091,8.29221802540826,1.18384736008357,3.7106135217099e-14,6.24716573381627e-11,"Misin18G044400.1"
"Misin18G047400.1",83.6405536339556,4.26274886472391,1.37718673248921,1.19243122366456e-05,0.00189505109660554,"Misin18G047400.1"
"Misin18G049900.1",475.452007426615,-0.476794517850493,0.221722825345544,0.000777030990746634,0.047914759301818,"Misin18G049900.1"
"Misin18G054800.1",1340.7740759152,1.65905328936591,0.480055615493485,3.10010187184935e-06,0.0006423768782534,"Misin18G054800.1"
"Misin18G056300.1",1012.76302820159,1.82710283086551,0.674100210074546,2.19887358560701e-05,0.00315064666022814,"Misin18G056300.1"
"Misin18G061600.1",39.2109359085898,3.00168765715813,1.77348943203832,0.000137327242232274,0.0130350016664493,"Misin18G061600.1"
"Misin18G070600.1",247.208493090697,4.47494561393905,1.17556868262205,2.99267163664089e-06,0.000629805407906359,"Misin18G070600.1"
"Misin18G077700.1",698.089388229938,-0.685430981923706,0.410824047282136,0.000405302983629602,0.030035348339814,"Misin18G077700.1"
"Misin18G102100.1",47.4843963898047,2.7870725287356,1.98423694105124,0.000234705985581482,0.0202316559571237,"Misin18G102100.1"
"Misin18G105300.1",36.0144441658601,2.50001002322801,1.02557791943436,4.08516842077063e-05,0.00515429622175685,"Misin18G105300.1"
"Misin18G106000.1",57.6706764500292,-2.20146493465025,1.12112638976431,9.67415466163309e-05,0.0100422944584871,"Misin18G106000.1"
"Misin18G109800.1",704.137566707461,4.23486052774129,0.757674931638524,2.54811493887765e-09,1.35920487457459e-06,"Misin18G109800.1"
"Misin18G112600.1",782.094413944055,-4.57300791334639,0.932055479823616,8.64089448042031e-08,3.10352126755096e-05,"Misin18G112600.1"
"Misin18G112700.1",2406.17214570581,-2.43382219189057,0.476580698624088,2.49760945411565e-08,1.03506699492678e-05,"Misin18G112700.1"
"Misin18G134000.1",171.355837133826,1.31441670113513,0.811096028497814,0.00021049442164332,0.018469685612433,"Misin18G134000.1"
"Misin18G145100.1",37.3091423634909,-2.36269303304719,2.60095034872232,0.000565094877067768,0.0381407396413753,"Misin18G145100.1"
"Misin18G179300.1",1172.83552438025,-1.05716664247369,0.797123774971821,0.000465597297350092,0.0334008713644956,"Misin18G179300.1"
"Misin18G209100.1",4.71725108633201,3.93687596426996,3.00202291796841,0.000136346594369496,0.0130014182784592,"Misin18G209100.1"
"Misin18G226000.1",142.711802580406,-4.52511633019405,0.936240692387951,1.17648986310021e-07,4.06303790862332e-05,"Misin18G226000.1"
"Misin18G228700.1",386.534906557899,-1.36248110293087,0.575738074871381,3.52133862778551e-05,0.00457137635113119,"Misin18G228700.1"
"Misin18G232500.1",169.880871074588,3.61644552034144,0.699205196984256,1.80391396332135e-08,7.90128981901935e-06,"Misin18G232500.1"
"Misin18G249300.1",248.05315027177,0.625034462148188,0.279214111893212,0.000197632490224751,0.0176282291570504,"Misin18G249300.1"
"Misin18G257200.1",2549.09703578068,-0.514804681354156,0.269428376580469,0.000783415986545905,0.0480712258259233,"Misin18G257200.1"
"Misin18G259300.1",88.6766254498502,2.34494116037263,0.454254205306409,1.9592399044129e-08,8.30456455169684e-06,"Misin18G259300.1"
